Day,hamilton album
2015-08-28,8
2015-08-29,0
2015-08-30,10
2015-08-31,8
2015-09-01,0
2015-09-02,8
2015-09-03,8
2015-09-04,8
2015-09-05,0
2015-09-06,10
2015-09-07,9
2015-09-08,0
2015-09-09,0
2015-09-10,7
2015-09-11,24
2015-09-12,10
2015-09-13,29
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,7
2015-09-18,0
2015-09-19,30
2015-09-20,10
2015-09-21,36
2015-09-22,37
2015-09-23,23
2015-09-24,0
2015-09-25,31
2015-09-26,10
2015-09-27,29
2015-09-28,7
2015-09-29,22
2015-09-30,36
2015-10-01,30
2015-10-02,23
2015-10-03,20
2015-10-04,0
2015-10-05,0
2015-10-06,7
2015-10-07,7
2015-10-08,15
2015-10-09,16
2015-10-10,20
2015-10-11,20
2015-10-12,8
2015-10-13,7
2015-10-14,15
2015-10-15,7
2015-10-16,15
2015-10-17,20
2015-10-18,9
2015-10-19,7
2015-10-20,7
2015-10-21,29
2015-10-22,7
2015-10-23,23
2015-10-24,0
2015-10-25,0
2015-10-26,14
2015-10-27,7
2015-10-28,7
2015-10-29,7
2015-10-30,8
2015-10-31,10
2015-11-01,10
2015-11-02,7
2015-11-03,14
2015-11-04,7
2015-11-05,0
2015-11-06,0
2015-11-07,0
2015-11-08,19
2015-11-09,100
2015-11-10,14
2015-11-11,0
2015-11-12,45
2015-11-13,23