Day,hamilton musical
2017-06-20,55
2017-06-21,40
2017-06-22,50
2017-06-23,45
2017-06-24,48
2017-06-25,64
2017-06-26,49
2017-06-27,54
2017-06-28,51
2017-06-29,60
2017-06-30,77
2017-07-01,79
2017-07-02,84
2017-07-03,38
2017-07-04,100
2017-07-05,82
2017-07-06,56
2017-07-07,75
2017-07-08,57
2017-07-09,73
2017-07-10,51
2017-07-11,47
2017-07-12,56
2017-07-13,50
2017-07-14,51
2017-07-15,73
2017-07-16,63
2017-07-17,67
2017-07-18,58
2017-07-19,60
2017-07-20,78
2017-07-21,53
2017-07-22,91
2017-07-23,52
2017-07-24,47
2017-07-25,64
2017-07-26,78
2017-07-27,64
2017-07-28,56
2017-07-29,72
2017-07-30,48
2017-07-31,49
2017-08-01,59
2017-08-02,68
2017-08-03,47
2017-08-04,70
2017-08-05,80
2017-08-06,52
2017-08-07,54
2017-08-08,49
2017-08-09,74
2017-08-10,51
2017-08-11,83
2017-08-12,65
2017-08-13,68
2017-08-14,33
2017-08-15,77
2017-08-16,70
2017-08-17,69
2017-08-18,73
2017-08-19,72
2017-08-20,81
2017-08-21,55
2017-08-22,60
2017-08-23,66
2017-08-24,75
2017-08-25,50
2017-08-26,68
2017-08-27,56
2017-08-28,41
2017-08-29,56
2017-08-30,52
2017-08-31,44
2017-09-01,58
2017-09-02,70
2017-09-03,59
2017-09-04,51
2017-09-05,52
2017-09-06,59
2017-09-07,65
2017-09-08,56
2017-09-09,57
2017-09-10,51
2017-09-11,63
2017-09-12,72