Day,hamilton tour
2017-06-20,47
2017-06-21,24
2017-06-22,38
2017-06-23,34
2017-06-24,46
2017-06-25,55
2017-06-26,60
2017-06-27,51
2017-06-28,58
2017-06-29,53
2017-06-30,64
2017-07-01,73
2017-07-02,100
2017-07-03,67
2017-07-04,55
2017-07-05,60
2017-07-06,51
2017-07-07,62
2017-07-08,65
2017-07-09,42
2017-07-10,61
2017-07-11,30
2017-07-12,36
2017-07-13,61
2017-07-14,57
2017-07-15,36
2017-07-16,90
2017-07-17,20
2017-07-18,76
2017-07-19,41
2017-07-20,55
2017-07-21,68
2017-07-22,76
2017-07-23,77
2017-07-24,81
2017-07-25,66
2017-07-26,45
2017-07-27,60
2017-07-28,46
2017-07-29,59
2017-07-30,66
2017-07-31,51
2017-08-01,48
2017-08-02,37
2017-08-03,87
2017-08-04,66
2017-08-05,40
2017-08-06,76
2017-08-07,53
2017-08-08,70
2017-08-09,82
2017-08-10,46
2017-08-11,91
2017-08-12,51
2017-08-13,52
2017-08-14,69
2017-08-15,44
2017-08-16,20
2017-08-17,84
2017-08-18,84
2017-08-19,57
2017-08-20,45
2017-08-21,65
2017-08-22,78
2017-08-23,54
2017-08-24,34
2017-08-25,55
2017-08-26,50
2017-08-27,91
2017-08-28,53
2017-08-29,42
2017-08-30,43
2017-08-31,29
2017-09-01,63
2017-09-02,28
2017-09-03,68
2017-09-04,78
2017-09-05,23
2017-09-06,31
2017-09-07,32
2017-09-08,32
2017-09-09,54
2017-09-10,42
2017-09-11,36
2017-09-12,37