Day,ham4ham,hamilton lottery,hamilton tour
06-20,0,33,47
06-21,0,56,24
06-22,0,51,38
06-23,0,50,34
06-24,0,64,46
06-25,9,40,55
06-26,0,39,60
06-27,15,52,51
06-28,0,74,58
06-29,0,49,53
06-30,16,42,64
07-01,0,57,73
07-02,0,43,100
07-03,8,36,67
07-04,9,27,55
07-05,0,63,60
07-06,0,59,51
07-07,0,43,62
07-08,9,61,65
07-09,35,38,42
07-10,7,37,61
07-11,7,53,30
07-12,0,65,36
07-13,0,42,61
07-14,23,44,57
07-15,0,67,36
07-16,0,37,90
07-17,0,30,20
07-18,15,47,76
07-19,7,59,41
07-20,0,48,55
07-21,8,56,68
07-22,0,60,76
07-23,0,37,77
07-24,7,28,81
07-25,0,48,66
07-26,15,62,45
07-27,7,40,60
07-28,0,60,46
07-29,9,76,59
07-30,9,37,66
07-31,7,28,51
08-01,7,53,48
08-02,7,63,37
08-03,0,53,87
08-04,0,49,66
08-05,8,68,40
08-06,0,24,76
08-07,0,24,53
08-08,0,42,70
08-09,0,59,82
08-10,0,43,46
08-11,7,100,91
08-12,8,72,51
08-13,0,65,52
08-14,0,31,69
08-15,22,53,44
08-16,100,64,20
08-17,36,52,84
08-18,0,63,84
08-19,0,55,57
08-20,16,46,45
08-21,7,44,65
08-22,0,81,78
08-23,0,52,54
08-24,7,40,34
08-25,0,42,55
08-26,0,39,50
08-27,0,24,91
08-28,0,31,53
08-29,14,51,42
08-30,7,32,43
08-31,0,30,29
09-01,0,35,63
09-02,16,26,28
09-03,0,28,68
09-04,0,16,78
09-05,7,23,23
09-06,6,34,31
09-07,0,19,32
09-08,7,34,32
09-09,0,17,54
09-10,0,22,42
09-11,0,13,36
09-12,0,24,37