Day,hamilton soundtrack,hamilton album,hamilton merchandise,hamilton musical
08-14,12,16,0,18
08-15,5,20,0,27
08-16,5,40,0,21
08-17,12,16,0,14
08-18,0,0,41,19
08-19,8,31,0,11
08-20,8,16,0,15
08-21,0,0,0,11
08-22,5,0,0,17
08-23,5,40,0,13
08-24,4,0,40,9
08-25,4,15,0,22
08-26,8,0,0,12
08-27,4,15,0,16
08-28,0,16,0,11
08-29,15,0,0,11
08-30,5,20,0,17
08-31,4,15,0,9
09-01,7,0,0,6
09-02,11,15,0,12
09-03,0,15,0,14
09-04,16,16,0,10
09-05,10,0,0,22
09-06,0,20,53,11
09-07,9,37,0,9
09-08,0,0,39,12
09-09,0,0,0,9
09-10,0,29,0,12
09-11,11,46,40,11
09-12,14,19,0,3
09-13,9,56,0,10
09-14,4,0,0,12
09-15,4,0,0,9
09-16,4,0,0,7
09-17,7,15,0,3
09-18,15,0,0,17
09-19,0,58,0,11
09-20,5,38,0,8
09-21,43,100,37,73
09-22,100,86,0,75
09-23,70,44,0,93
09-24,77,29,0,61
09-25,68,61,0,91
09-26,63,19,0,97
09-27,33,57,50,82
09-28,65,14,0,75
09-29,28,42,0,91
09-30,39,71,0,83
10-01,22,59,0,69
10-02,23,45,0,81
10-03,29,38,50,84
10-04,28,0,49,66
10-05,18,0,75,79
10-06,22,15,0,83
10-07,39,14,37,73
10-08,18,29,0,63
10-09,27,31,40,48
10-10,53,39,50,83
10-11,10,39,0,61
10-12,22,15,0,68
10-13,43,43,0,72
10-14,25,43,75,74
10-15,21,14,0,52
10-16,30,30,39,91
10-17,29,58,100,92
10-18,23,18,48,82
10-19,46,14,37,100
10-20,18,14,37,68
10-21,24,56,0,73
10-22,11,14,0,72
10-23,19,45,0,84
10-24,23,0,49,80
10-25,28,0,0,98
10-26,21,28,0,69
10-27,21,28,0,90
10-28,10,14,72,65
10-29,28,14,37,68
10-30,22,15,39,75
10-31,24,19,0,60
11-01,14,19,50,55
11-02,24,14,36,82
11-03,3,28,0,63
11-04,24,28,36,72
11-05,11,0,37,75
11-06,15,0,38,77